,title,genres,overview,release_date,runtime,review,content to embed
0,The Descent,"['Adventure', 'Horror']","After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",2005-07-08,99,6.964,"Movie Name: The Descent 
 Movie Genre: ['Adventure', 'Horror'] 
 Movie Overview: After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other. 
 Movie Release Date: 2005-07-08 
 Movie Runtime: 99 
 Movie Review: 6.964"
1,Biebermania!,"['Documentary', 'Music']","An inside look at the phenomenon that is sweeping the nation. Justin Bieber, along with music's top icons, give you the scoop on how he became the pop sensation that he is today. Although many would like to call Bieber an 'overnight sensation,' his Beliebers (what he adoringly calls his fans) have been following his trail since 2007.",2011-05-17,70,1.0,"Movie Name: Biebermania! 
 Movie Genre: ['Documentary', 'Music'] 
 Movie Overview: An inside look at the phenomenon that is sweeping the nation. Justin Bieber, along with music's top icons, give you the scoop on how he became the pop sensation that he is today. Although many would like to call Bieber an 'overnight sensation,' his Beliebers (what he adoringly calls his fans) have been following his trail since 2007. 
 Movie Release Date: 2011-05-17 
 Movie Runtime: 70 
 Movie Review: 1.0"
2,Carpe Diem,"['Comedy', 'TV Movie']","As the end of the world is announced, Akim, Julie and Kevin begin to achieve everything they have always wanted to do, but after the world does not end, the world wakes up with a terrible hangover.",2022-12-22,0,6.0,"Movie Name: Carpe Diem 
 Movie Genre: ['Comedy', 'TV Movie'] 
 Movie Overview: As the end of the world is announced, Akim, Julie and Kevin begin to achieve everything they have always wanted to do, but after the world does not end, the world wakes up with a terrible hangover. 
 Movie Release Date: 2022-12-22 
 Movie Runtime: 0 
 Movie Review: 6.0"
3,Ham,"['Drama', 'Comedy']","In the depths of rural England, childhood friends Cathy and Jules find something unexpected in the woods and have to work out what the hell to do with it.",2023-10-18,15,0.0,"Movie Name: Ham 
 Movie Genre: ['Drama', 'Comedy'] 
 Movie Overview: In the depths of rural England, childhood friends Cathy and Jules find something unexpected in the woods and have to work out what the hell to do with it. 
 Movie Release Date: 2023-10-18 
 Movie Runtime: 15 
 Movie Review: 0.0"
4,Nothing Goes,"['Thriller', 'Drama', 'Crime']","A university student's life begins to spiral out of control after reluctantly being involved in a robbery, leading to a road trip which will change his life forever.",2023-10-22,51,0.0,"Movie Name: Nothing Goes 
 Movie Genre: ['Thriller', 'Drama', 'Crime'] 
 Movie Overview: A university student's life begins to spiral out of control after reluctantly being involved in a robbery, leading to a road trip which will change his life forever. 
 Movie Release Date: 2023-10-22 
 Movie Runtime: 51 
 Movie Review: 0.0"
5,Smashing Pumpkins,"['Horror', 'Drama']","When a baseball team’s hazing ritual goes wrong, they accidentally send an evil figure on a blood path after an innocent victim of their choosing.",2023-10-26,16,0.0,"Movie Name: Smashing Pumpkins 
 Movie Genre: ['Horror', 'Drama'] 
 Movie Overview: When a baseball team’s hazing ritual goes wrong, they accidentally send an evil figure on a blood path after an innocent victim of their choosing. 
 Movie Release Date: 2023-10-26 
 Movie Runtime: 16 
 Movie Review: 0.0"
6,Michal Cieslak vs. Tommy McCarthy,['Action'],"EBU cruiserweight king Michal Cieslak (24-2) defends his title against ex-champ Tommy McCarthy (20-4) in Zakopane, Poland.",2023-11-04,0,0.0,"Movie Name: Michal Cieslak vs. Tommy McCarthy 
 Movie Genre: ['Action'] 
 Movie Overview: EBU cruiserweight king Michal Cieslak (24-2) defends his title against ex-champ Tommy McCarthy (20-4) in Zakopane, Poland. 
 Movie Release Date: 2023-11-04 
 Movie Runtime: 0 
 Movie Review: 0.0"
7,Noel Mikaelian vs. Ilunga Makabu,['Action'],"Noel Mikaelian (26-2, 11KO) faces former WBC cruiserweight champion Ilunga Makabu (29-3, 25KO) for the vacant WBC cruiserweight title in Miami, Florida.",2023-11-04,0,0.0,"Movie Name: Noel Mikaelian vs. Ilunga Makabu 
 Movie Genre: ['Action'] 
 Movie Overview: Noel Mikaelian (26-2, 11KO) faces former WBC cruiserweight champion Ilunga Makabu (29-3, 25KO) for the vacant WBC cruiserweight title in Miami, Florida. 
 Movie Release Date: 2023-11-04 
 Movie Runtime: 0 
 Movie Review: 0.0"
8,A Holiday I Do,"['Romance', 'Comedy']","When a small town single mom falls for her ex-husband's beautiful and sophisticated wedding planner, she'll need some Christmas magic to fix the chaos that ensues.",2023-11-05,94,0.0,"Movie Name: A Holiday I Do 
 Movie Genre: ['Romance', 'Comedy'] 
 Movie Overview: When a small town single mom falls for her ex-husband's beautiful and sophisticated wedding planner, she'll need some Christmas magic to fix the chaos that ensues. 
 Movie Release Date: 2023-11-05 
 Movie Runtime: 94 
 Movie Review: 0.0"
9,The Loch Ness Horror,['Horror'],"A vanished submarine prompts a rescue operation that leads to the Loch Ness monster. Having escaped the Loch, the creature unleashes decades of pent-up aggression on those it encounters.",2023-11-07,0,0.0,"Movie Name: The Loch Ness Horror 
 Movie Genre: ['Horror'] 
 Movie Overview: A vanished submarine prompts a rescue operation that leads to the Loch Ness monster. Having escaped the Loch, the creature unleashes decades of pent-up aggression on those it encounters. 
 Movie Release Date: 2023-11-07 
 Movie Runtime: 0 
 Movie Review: 0.0"
